gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds
0,10.375236601672134,0.8358041257199161,-0.9847994258601689,11,10,4,0,138.41,138.42
1,10.375236601672134,2.628232899693344,-0.9861614886392792,11,10,4,0,140.14,278.56
2,10.512085770154037,5.610721721970523,0.009639339772165169,64,10,4,0,144.2,422.76
3,11.143415828906898,7.237543487246714,-0.5847568014823014,74,9,4,0,144.35,567.12
4,15.002561737982475,10.07138842597224,4.57715441412989,99,9,4,0,141.36,708.48
5,15.16303454977849,11.155542919193449,6.136584324066036,128,9,4,0,141.04,849.53
6,16.665293603081736,12.492518482125801,6.831578392163316,145,10,4,0,142.33,991.87
7,17.69147465660574,15.32663855127808,6.5158635936086124,176,9,4,0,144.32,1136.19
8,18.9026109779595,14.296900780642895,-0.6636215274156081,181,9,4,0,142.61,1278.81
9,20.902485966160388,17.532668492079633,10.24330473819128,200,10,4,0,144.48,1423.3
10,21.092825947640407,17.484835204919325,12.657121861012783,240,9,4,0,143.82,1567.12
11,25.94073001536735,17.898553895190105,10.050565356168594,246,10,4,0,143.96,1711.08
12,25.94073001536735,17.27110868219999,-0.6185481283371169,246,10,4,0,144.54,1855.63
13,31.251759322630125,19.64785909932647,-0.6023455568079388,300,8,4,0,146.25,2001.89
14,31.251759322630125,22.78573211025186,-0.6834985136214117,300,8,4,0,145.44,2147.33
15,36.68021279777885,26.772057162026027,12.716027621151772,345,8,4,0,146.01,2293.35
16,36.68021279777885,28.67558531513032,12.15949828977616,345,8,4,0,149.58,2442.94
17,38.74942969725513,32.717839022775436,20.22919766989571,381,9,4,0,151.44,2594.39
18,39.78212448558684,36.11016789542739,28.960520532520647,412,9,4,1,151.48,2745.88
19,41.94933625415109,34.79793519182161,-0.16836391211019888,433,9,4,0,146.8,2892.69
20,41.94933625415109,38.526221476762046,29.523176668160538,433,9,4,1,149.78,3042.49
21,42.75892534058326,37.97058960188472,15.162552571736402,478,10,4,1,321.83,3364.33
22,51.50607622911769,39.92486793032948,22.15261021377274,492,9,4,0,203.77,3568.12
23,51.98908995305125,42.82052900575573,23.72627213049844,508,10,4,0,138.98,3707.1
24,52.26318282620865,44.79276774243923,17.060687070087848,535,9,4,0,147.97,3855.08
