gen,best_fitness,mean_fitness,worst_fitness,best_id,best_limbs,best_depth,n_invalid,gen_seconds,cumulative_seconds,mean_novelty,best_novelty
0,3.6423799587389833,-2.238716002852112,-3.959668551871276,11,10,4,0,146.22,146.22,0.2969,0.2376
1,4.461302569904558,-0.6626335985207978,-3.3621156422236904,44,10,4,1,140.64,286.87,0.1439,0.1112
2,4.928489741929381,1.6158855752045074,-2.437840763113376,66,10,4,0,142.77,429.65,0.0608,0.0799
3,5.13097284234493,2.562296728928638,-3.076362679204184,74,10,4,0,141.2,570.85,0.0749,0.0555
4,8.41589426812867,4.122679882213078,-0.9775626274164357,99,10,4,0,141.2,712.06,0.0629,0.0969
5,8.500552901153974,4.826644829352504,1.4799013985685388,128,10,4,0,142.53,854.59,0.0571,0.0537
6,9.622050445893537,6.250470756171137,3.0054346870552875,145,11,4,0,141.97,996.57,0.0405,0.0703
7,9.682039714120332,7.496500951779058,1.802803129630078,167,10,4,0,141.31,1137.88,0.0441,0.014
8,10.815367252681932,7.534600296387194,-3.6476119542857584,199,9,4,0,140.37,1278.26,0.0684,0.0392
9,11.45032010868092,9.413078931655718,4.2433844721721234,216,9,4,0,140.96,1419.23,0.0301,0.0129
10,11.45032010868092,9.352501953123785,4.089047070191022,216,9,4,0,139.73,1558.98,0.0473,0.0084
11,15.975016053376338,9.13786693119926,1.601540967421655,245,9,4,0,139.45,1698.44,0.0507,0.0919
12,15.975016053376338,9.736398095483956,-3.4067886309361888,245,9,4,2,138.49,1836.93,0.0598,0.0488
13,16.77495002589153,10.649381762652318,-3.4440067920817703,292,5,4,0,139.99,1976.94,0.061,0.1819
14,16.77495002589153,12.199320258032662,-3.525040586471284,292,5,4,0,137.42,2114.37,0.0479,0.051
15,17.21285878754545,14.605729430722056,5.845550597504876,347,5,4,1,134.68,2249.06,0.0511,0.036
16,21.72102016450904,13.499933139943499,-3.5621470457482616,370,6,4,0,135.3,2384.37,0.0853,0.0728
17,21.72102016450904,14.560179269647008,-3.268794121364,370,6,4,1,133.4,2517.78,0.0719,0.0213
18,21.235438596019858,15.786575215519305,-3.205944322301702,408,6,4,1,133.96,2651.75,0.0792,0.0348
19,23.87683974652419,14.389063833320677,-3.688895067475451,432,6,4,0,135.8,2787.57,0.0774,0.0325
20,24.13302835541345,17.172376195827574,1.9833969874440556,452,6,4,1,136.54,2924.13,0.0452,0.0219
21,26.99415634988844,18.565170575328565,6.375546074617011,482,6,4,1,135.5,3059.65,0.0518,0.0313
22,27.070602419422105,21.326487586940512,12.786590688213673,507,7,4,0,137.04,3196.7,0.0404,0.0862
23,27.86613425045156,22.88730425512091,9.69533679225677,525,7,4,0,137.77,3334.52,0.0337,0.0188
24,27.923902723202538,19.965699214313567,1.1950068506484448,543,7,4,0,137.66,3472.2,0.0561,0.0388
